frame_idx,mpjpe_mm,pampjpe_mm,num_clips
0,47.702403,38.000664,2364
1,47.177746,37.540830,2364
2,46.828109,37.229766,2364
3,46.643385,37.075652,2364
4,46.387710,36.872453,2364
5,46.222769,36.764171,2364
6,46.141393,36.735710,2364
7,46.002495,36.648267,2364
8,45.913542,36.594322,2364
9,45.869664,36.586244,2364
10,45.775863,36.524080,2364
11,45.739507,36.513949,2364
12,45.749323,36.541892,2364
13,45.663345,36.470882,2364
14,45.612050,36.451146,2364
15,45.614496,36.488941,2364
16,45.556048,36.429385,2364
17,45.544785,36.418665,2364
18,45.574026,36.447600,2364
19,45.528414,36.386365,2364
20,45.509738,36.357198,2364
21,45.530735,36.370326,2364
22,45.509798,36.354893,2364
23,45.515255,36.370488,2364
24,45.569406,36.428298,2364
25,45.551021,36.403356,2364
26,45.559889,36.406553,2364
27,45.619429,36.465075,2364
28,45.592256,36.421891,2364
29,45.567231,36.395775,2364
30,45.567653,36.397425,2364
31,45.485220,36.324775,2364
32,45.428963,36.264622,2364
33,45.404709,36.243993,2364
34,45.318967,36.158518,2364
35,45.235784,36.072722,2364
36,45.204490,36.025647,2364
37,45.124880,35.940296,2364
38,45.072002,35.870213,2364
39,45.086063,35.862868,2364
40,45.040749,35.815100,2364
41,45.006089,35.803282,2364
42,45.002759,35.840351,2364
43,44.946491,35.840089,2364
44,44.907617,35.838065,2364
45,44.911322,35.876997,2364
46,44.870322,35.861314,2364
47,44.823083,35.830029,2364
48,44.802996,35.834165,2364
49,44.744886,35.813714,2364
50,44.684525,35.796860,2364
51,44.673570,35.824122,2364
52,44.623808,35.815421,2364
53,44.557863,35.790824,2364
54,44.542593,35.802071,2364
55,44.527353,35.794739,2364
56,44.520953,35.784470,2364
57,44.557879,35.823299,2364
58,44.580678,35.831636,2364
59,44.589244,35.819539,2364
60,44.612938,35.837127,2364
61,44.615279,35.819866,2364
62,44.587344,35.771142,2364
63,44.557976,35.741123,2364
64,44.507981,35.687308,2364
65,44.456155,35.628756,2364
66,44.428469,35.603640,2364
67,44.370948,35.562069,2364
68,44.288164,35.483560,2364
